_input,_num,_widgetName,_source,_resultNumber,_pageUrl,review,reviewer,reviewerlocation,roomtip,numberofreviews,staydate
,11,RenaissanceSouthPark,RenaissanceSouthPark,11,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r373905824-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,We made a quick 2 night trip to Charlotte for the Wells Fargo PGA Championship at Quail Hollow. We couldn't have selected a more perfect spot to stay. We were just minutes from the golf course and right across the street from South Park Mall. The room was beautiful decor was soothing. We loved everything about the hotel and employees. We ate breakfast twice and it was delicious! Highly recommend this hotel ( even though it's a little pricey)!!! I do wish since the price was so high we would have had free Wifi.,Mary Jo C,Brooklyn,Room Tip: We were on the second floor...our room overlooked part of the atrium and fountain. See more room tips,9 reviews,Stayed May 2016 travelled as a couple
,12,RenaissanceSouthPark,RenaissanceSouthPark,12,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r373905824-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,Look . . . . I have been through the Charlotte airport a million times but never actually stayed in Charlotte before. This time however I had a business meeting in Charlotte and booked a room at the Renaissance SouthPark Hotel in Charlotte. Let me tell you besides just the beauty of this property the staff is 2nd to none. EVERYONE treats you like you were a presidential guest. Everyone. No matter what you want. And above all that is a guy by the name of Danny. Danny greets you at the front door with the most genuine and biggest smile you have ever seen. He is just awesome. Want your car? No problem. Want some directions? No problem. Want some advice on what to do or restaurants no problem. Danny knows it all. Want to just simply chat with a super and genuinely nice person? No problem. He seems to know everyone and everything about Charlotte. Renaissance Charlotte . . . You need to hang onto this guy. He is just awesome. Thanks for a GREAT stay and experience during a tense business trip. Rest assured I will absolutely stay at this location again. If you happen to stay at this place meet Danny and tell him Tim from Chicago sent you. You WILL be taken care of.,Timothy H,Auburn Hills MI United States,Room Tip: High floor on the club level See more room tips,2 reviews,Stayed May 2016 travelled on business
,13,RenaissanceSouthPark,RenaissanceSouthPark,13,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r373905824-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,I love the colors of the room décor. The bed is so comfortable I did not want to get out of the it. The entire hotel decor is quite chic. The courtyard looks like something from a five star resort there are two fire pits and a beautiful large tree that towers over the entire courtyard with very comfy seating and a few rocking chairs. The courtyard is quite beautiful. Danny the valet guy has a really friendly personality. He smiled the entire time and got the hotel door for me and said if he could do anything to make my stay better let him know. He truly set the tone for my stay. I'm not sure if I've ever met such a friendly valet guy in my life. I ate at the restaurant and Tim Prather and Morgan White were very helpful with helping make my food and wine selections. Morgan is really knowledgeable about wine. They enjoyed helping me every step of the way I was so indecisive. I highly recommend this hotel! It seems as though everyone really takes pride in their job and desires to make you happy and comfortable!,robertastowers,Florida,,1 review,Stayed May 2016 travelled solo
,14,RenaissanceSouthPark,RenaissanceSouthPark,14,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r373905824-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,Walking distance to South Park Mall and restaurants. It is pricey and right in the middle of everything. The rooms were large and clean. Wish they would have included free internet in the room but I notice that the pricer hotels all seem to do this. Great restaurants walking distance. Cheesecake Factory Smith and Wolensky steps away. Great mall to walk after dinner. My brother and I enjoyed just looking at all the beautiful stores. Tiffany LVNordstrom and all their friends have large beautiful window displays. How many malls have a Maserati parked inside for purchase? The hotel has valet parking and self parking. I chose self park and had no trouble finding one but it was earlier in the day. Access from the garage to the lobby made self park a lot easier.,daisy4202016,Savannah Georgia,,4 reviews,Stayed May 2016
,15,RenaissanceSouthPark,RenaissanceSouthPark,15,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r373905824-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,We flew into Charlotte and took a cab to this hotel. Fare noted below. It was swift and we were lucky to receive an early checkin. We were part of a wedding group. The wedding was Saturday at 5 pm in a beautiful courtyard. A cocktail reception followed. A delicious dinner festivities and dancing were delightful. We took the elevator back to the room! The beds are very nice with top of the line sheets. We slept soundly here for two nights. The hotel is in the Southpark mall area and streets are tree-lined. There are many places to walk shop relax and dine in the area. The location the friendly service and the seamless process made this a five star weekend for us. Sunday we dined in the restaurant (ordered from menu vs. buffet option - thanks for having this!) for breakfast. Again we received sincere and timely service. A cab was waiting as we departed. A friendly bellman helped us get into the cab. We returned to the airport in time to check in before crowds appeared. The cab ride was about 37.00 each way with tip. At this location there is absolutely no need to rent a car. I would recommend the hotel for groups and occasions like this. The staff is professional and take their goals and guest services seriously.,Travelartgolf,Santa Rosa Beach Florida,,304 reviews,Stayed May 2016 travelled as a couple
,16,RenaissanceSouthPark,RenaissanceSouthPark,16,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r361221096-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,My family has stayed here several times. The staff is very friendly and the hotel is well maintained. My only complaints are you can hear hallway noise in your room and the pool is small. Great fitness area though. The location cannot be beat.,Molly W,,,4 reviews,Stayed April 2016 travelled as a couple
,17,RenaissanceSouthPark,RenaissanceSouthPark,17,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r361221096-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,This is an exceptional hotel in every detail. My corner room was elegantly appointed and the bed extremely comfortable. The staff at every level was friendly and courteous. The Executive Lounge offered free drinks and had some incredible brownies. I had dinner at the Hotel Bar and all was great. This hotel does it right and I would not hesitate to stay here on a future trip to Charlotte.,BlueMarlinDave,Naples Florida,,452 reviews,Stayed April 2016 travelled on business
,18,RenaissanceSouthPark,RenaissanceSouthPark,18,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r361221096-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,...even our late check-in was awesome. Our family was greeted with smiles and friendliness. Front desk was very professional and friendly. The club lounge was quiet and relaxed. Food and wine...GREAT!!!! The rooms were comfortable and clean. Housekeeping was on point. We didn't have to ask for anything. I would definitely stay again.,Crystal B,Charleston South Carolina,,1 review,Stayed March 2016 travelled with family
,19,RenaissanceSouthPark,RenaissanceSouthPark,19,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r361221096-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,This is a quality property with a good staff. My trip was for a family gathering on site so I cannot say a great deal about the location other than to say it is quite close to a large number of shops and restaurants and not very far from the airport at all. My bed had seen better days but I otherwise found my room clean and comfortable. The breakfast buffet is only a bit better than average and overpriced at $20. I was quite satisfied overall. If this location works for your visit to Charlotte this is a very good place to stay.,ClayC1969,Des Plaines Illinois,,55 reviews,Stayed March 2016 travelled with family
,20,RenaissanceSouthPark,RenaissanceSouthPark,20,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r361221096-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Our first impression was good - the front desk staff was very friendly and there was champagne to greet us in the lobby. Once we got to our room we found it very noisy. We called the front desk and they offered to change our room which we did. Definitely a good choice for peace and quiet. Why the 3-star rating ... This is supposed to be a 4 star property so I would expect cleanliness to be a top priority. All the vents in the room were caked with dust as was the hair dryer. The design of the bathroom was strange - the toilet paper holder and the towel rack were on the sink "apron" so you couldn't stand near the sink. The clock lost 2 hours every day. Overall they neglected the details that would elevate this to 4-stars.,MumaRules,Massachusetts,,53 reviews,Stayed February 2016 travelled as a couple
,21,RenaissanceSouthPark,RenaissanceSouthPark,21,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r362935151-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,This is my go to property when I have to lodge in Charlotte. I enjoy the sweet potato pancakes from room service and decided to stay here with my girlfriend for Valentine's weekend. I had flowers and chocolates shipped directly to the hotel in preparation. I was pleasantly surprised when I arrived to find the staff placed these items in my room! This is the type of service one can expect from a top notch property. I will continue to return again & again.,Caleb M,,,152 reviews,Stayed February 2016 travelled as a couple
,22,RenaissanceSouthPark,RenaissanceSouthPark,22,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r362935151-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Beautiful- luxury hotel with excellent service Greeters open the door - check you in & show you to the elevator. Recently updated lobby is ultra modern bright colors - classy & beautiful. Snacks are offered in the evening. I had some trouble with the wifi. The gym & pool are beautiful same for lobby & bar/restaurant area.,JPatrickX2,Moline Illinois,,30 reviews,Stayed April 2016 travelled on business
,23,RenaissanceSouthPark,RenaissanceSouthPark,23,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r362935151-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,I travel for work and visit Charlotte 4-5 times a year. I ALWAYS make an extra effort to stay at the South Park Renaissance. Why? Clean? Yup. Convenient? Yup. Up to date? Got that too. But it's the staff that make the difference. From check-in to room service to the lobby bar/dining the staff are the best. Sometimes months go by between visits but I am still remembered. I have to shout out to Miri who has recommended dining always remembers me and is always attentive. Newer favs are Kat and Morgan. They too have demonstrated extra effort to make the meal or the drink or the conversation that much more pleasant. Thanks to all!,gsim1208,Orlando Florida,,1 review,Stayed March 2016 travelled on business
,24,RenaissanceSouthPark,RenaissanceSouthPark,24,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r362935151-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Staff were welcoming professional and courteous. Breakfast was complementary and delicious. Within walking distance were outstanding restaurants and a great indoor shopping mall. Excellent one day overnight stop on the way to Hilton Head.,jefflinck,Dayton Ohio,,1 review,Stayed April 2016 travelled as a couple
,25,RenaissanceSouthPark,RenaissanceSouthPark,25,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r362935151-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Checking in to this hotel I will describe was cold and incompetent. Calling to discuss issues with a manager was not a great experience. They treated us like garbage and I have voiced my concerns repeatedly to get nothing accomplished. Managers do not return calls incorrect information is provided and never was compensated for the time spent trying to check into my rooms. They are rude!! For the price the rooms were small in size and nothing to write home about. Shakira and the bellman were the friendliest people during our stay.,ksuber25,Columbia South Carolina,,64 reviews,Stayed March 2016 travelled with friends
,26,RenaissanceSouthPark,RenaissanceSouthPark,26,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365256879-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,Great Hotel Very helpful staff welcome drinks -always a plus :-) Food is good  seasonal menu wich is nice unless you want something wonderfull that was last season... Bar staff is actually the only "iffy" part of this place sometime a great drink and other time ...ehh. sometime you cant get something because they don't have the garnish  or simple syrup. wish this part was more consistant otherwise really nice hotel,llamamomma2016,South Carolina,,12 reviews,Stayed February 2016 travelled as a couple
,27,RenaissanceSouthPark,RenaissanceSouthPark,27,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365256879-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,Beautiful hotel. Champagne & cake pops on arrival. Very friendly and helpful staff especially on reception. Beautiful king room. Spacious. Lovely bar. Breakfast & wifi over priced but hope to return some day. South Park really lovely area and hotel directly across from the mall. Perfect!,Happy H,Dublin Ireland,,25 reviews,Stayed April 2016 travelled as a couple
,28,RenaissanceSouthPark,RenaissanceSouthPark,28,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365256879-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,This is my go to property when I have to lodge in Charlotte. I enjoy the sweet potato pancakes from room service and decided to stay here with my girlfriend for Valentine's weekend. I had flowers and chocolates shipped directly to the hotel in preparation. I was pleasantly surprised when I arrived to find the staff placed these items in my room! This is the type of service one can expect from a top notch property. I will continue to return again & again.,Caleb M,,,152 reviews,Stayed February 2016 travelled as a couple
,29,RenaissanceSouthPark,RenaissanceSouthPark,29,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365256879-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,Beautiful- luxury hotel with excellent service Greeters open the door - check you in & show you to the elevator. Recently updated lobby is ultra modern bright colors - classy & beautiful. Snacks are offered in the evening. I had some trouble with the wifi. The gym & pool are beautiful same for lobby & bar/restaurant area.,JPatrickX2,Moline Illinois,,30 reviews,Stayed April 2016 travelled on business
,30,RenaissanceSouthPark,RenaissanceSouthPark,30,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365256879-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,I travel for work and visit Charlotte 4-5 times a year. I ALWAYS make an extra effort to stay at the South Park Renaissance. Why? Clean? Yup. Convenient? Yup. Up to date? Got that too. But it's the staff that make the difference. From check-in to room service to the lobby bar/dining the staff are the best. Sometimes months go by between visits but I am still remembered. I have to shout out to Miri who has recommended dining always remembers me and is always attentive. Newer favs are Kat and Morgan. They too have demonstrated extra effort to make the meal or the drink or the conversation that much more pleasant. Thanks to all!,gsim1208,Orlando Florida,,1 review,Stayed March 2016 travelled on business
,31,RenaissanceSouthPark,RenaissanceSouthPark,31,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r368278568-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,So I was on a business trip for my company. Everything was paid by them. On arrival I was asked to produce a credit card for incidentals. They were going to hold $50 a night(3). I don't have a credit card. They were not going to let me have a room!!! After the front desk and I had a few words a call was made... I was made to feel inferior in front of strangers... My company paid over 200 per night plus paid for 3 meals per day for over 20 people. I will never stay there again or recommend to anyone. The only saving grace for them are Regina who took care of us every morning and lunch.... She is golden!!!! Also Cat in the bar!!! 2 great employees!!! Excellent customer service!!!,Kathie R,Chapin South Carolina,,13 reviews,Stayed April 2016 travelled on business
,32,RenaissanceSouthPark,RenaissanceSouthPark,32,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r368278568-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,I stayed at the Renaissance in March with my company in which we had a global meeting in the hotel facilities. The hotel was extremely accommodating and many shared amenities in the lobby bar and restaurant were updated and very appealing. The meeting rooms them self could have used some updating and much more ergonomic chairs after being there for a week. The rooms were a little dated but again the hotel was excellent as well as the staff. Definitely recommend this hotel for business.,Bill F,,,41 reviews,Stayed March 2016 travelled on business
,33,RenaissanceSouthPark,RenaissanceSouthPark,33,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r368278568-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,Great hotel to stay on your next visit to Charlotte. Location is convenient to downtown location has great shopping within a block away. Many restaurants within walking distance of the Hotel. Hotel is very modern great fitness facility very clean and friendly staff. Bar and lounge makes it very convenient for food and late night drink. Also offered a glass of bubbly the day we checked in. Grounds are very nice with outdoor seating. You will love your stay and the rates are very reasonable. 110% satisfied..,Ron K,Cincinnati Ohio,,7 reviews,Stayed April 2016 travelled as a couple
,34,RenaissanceSouthPark,RenaissanceSouthPark,34,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r368278568-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,Always stayed at this property on annual trip from Ohio to Hilton Head to break up the trip. This trip was an east coast college tour trip with our daughter. Being familiar with the property though we haven't stayed here in years decided to stay again. First who offers rooms with two beds but they are doubles??? instead of queens in this day and age? Yikes I am sure Marriott has upgraded their mattresses why not bump up the size of the beds. I didn't even think to ask as I have not encountered any other Marriott property in years that still has doubles at any level. Also the decor is hip but I know for a fact the last time it was updated and carpet redone was at least 8 years ago because that is when we were last at HHI and I actually have photos on my computer of my 8 year old daughter in the rooms on that trip. And she is 16 now. We had been on the road all day and were not about to pay for two rooms to have reasonably sized beds. And we are average to skinny people. Just get with it Marriott and put two queens in the rooms - there is room for it. Indoor pool is nice and lobby is nice with lots of smaller sitting areas next to bar and restaurant. Saw no one eating in restaurant. Breakfast is very expensive there and there are lots of options in the area. You are directly across from the Southpark Mall which has everything you can think of - upscale stores and mid range and a huge food court. Plus lots of other cool areas in this part of Charlotte with lots of newer restaurants and shops within 5 min drive of hotel. Other than that hotel is in business building type of area with a surface parking lot or parking garage attached if they are very busy with weddings etc as can happen on weekends. Bathroom was average - no ventilation in there nothing special. To aid in the efficiency of us getting up and on the road for our next tour the next day I went down to the gym locker room to get ready and do makeup. Yikes -very severe lighting in there and not suitable for much of anything. We ate in Davidson at North Harbor Cafe which was beautiful on Lake Norman and so nice to eat outside on their big deck overlooking the harbor. But they are very expensive and the portions are tiny. tiny. Place used to be very nice casual with great food and portions but seems they are charging for their location. They even charge you for bread and bring out two pieces. I have heard Kindred is great in that area and Toast. Will have to try next time. Charlotte is loaded with cool new places to eat very close to the Renaissance so give those a try. Club lounge level of hotel was in a conference room on first floor because they were cleaning several floors carpeting and had the true club levels closed down for that reason.,bonevoyage,Avon Lake,,38 reviews,Stayed April 2016 travelled with family
,35,RenaissanceSouthPark,RenaissanceSouthPark,35,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r368278568-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,Great Hotel Very helpful staff welcome drinks -always a plus :-) Food is good  seasonal menu wich is nice unless you want something wonderfull that was last season... Bar staff is actually the only "iffy" part of this place sometime a great drink and other time ...ehh. sometime you cant get something because they don't have the garnish  or simple syrup. wish this part was more consistant otherwise really nice hotel,llamamomma2016,South Carolina,,12 reviews,Stayed February 2016 travelled as a couple
,36,RenaissanceSouthPark,RenaissanceSouthPark,36,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r368308070-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,Stayed for a night on the way back home from the beach. We have a 6 month old and a three year old. We had a room with two beds. With the pack and play it was a little tight. The room is a bit small. Next time we will likely book a suite. The hotel is very trendily decorated but had everything we needed. The service was great the room was very clean the location is safe and within walking distance to the mall and restaurants. In fact we walked to the mall and restaurants for a night out with the kids. It's a great area and a great mall. We had an especially memorable moment with one of the doormen. He was helping us load our bags in the car. The three year old was climbing into the car. I was distracted for a second loading in a bag and the doorman ran up to her door to make sure she got in the car ok. Very thoughtful. Although the trendy look of the lobby feels more like a nightclub than a family friendly hotel the cleanliness friendly staff and location will make this a regular hotel that we will return to when staying in Charlotte.,adempsey21,Nashville Tennessee,,18 reviews,Stayed April 2016 travelled with family
,37,RenaissanceSouthPark,RenaissanceSouthPark,37,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r368308070-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,So I was on a business trip for my company. Everything was paid by them. On arrival I was asked to produce a credit card for incidentals. They were going to hold $50 a night(3). I don't have a credit card. They were not going to let me have a room!!! After the front desk and I had a few words a call was made... I was made to feel inferior in front of strangers... My company paid over 200 per night plus paid for 3 meals per day for over 20 people. I will never stay there again or recommend to anyone. The only saving grace for them are Regina who took care of us every morning and lunch.... She is golden!!!! Also Cat in the bar!!! 2 great employees!!! Excellent customer service!!!,Kathie R,Chapin South Carolina,,13 reviews,Stayed April 2016 travelled on business
,38,RenaissanceSouthPark,RenaissanceSouthPark,38,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r368308070-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#CHECK_RATES_CONT,I stayed at the Renaissance in March with my company in which we had a global meeting in the hotel facilities. The hotel was extremely accommodating and many shared amenities in the lobby bar and restaurant were updated and very appealing. The meeting rooms them self could have used some updating and much more ergonomic chairs after being there for a week. The rooms were a little dated but again the hotel was excellent as well as the staff. Definitely recommend this hotel for business.,Bill F,,,41 reviews,Stayed March 2016 travelled on business
